id,component,orig_Ev,patched_Ev,rand_Ev,wd_inst_base,wd_patch_base,wd_rand_base,delta_Ev_patch,delta_Ev_rand,delta_WD_patch,delta_WD_rand,orig_prob_5,patched_prob_5,rand_prob_5
N-grief-d2-c1,res_16,6.4609375,6.47265625,6.44921875,1.4365799955616874,1.464369379929375,1.4307659720787436,0.01171875,-0.01171875,0.02778938436768774,-0.0058140234829437976,0.0782470703125,0.07745361328125,0.07891845703125
N-grief-d3-c1,res_16,6.81640625,6.8203125,6.8359375,1.3854496861857397,1.400894700196583,1.404112663899864,0.00390625,0.01953125,0.015445014010843305,0.018662977714124285,0.0279541015625,0.0267486572265625,0.0245819091796875
N-terror-d2-c1,res_16,6.66796875,6.63671875,6.65625,1.0477793928305497,1.0541016597199027,1.057793777985419,-0.03125,-0.01171875,0.006322266889353001,0.010014385154869299,0.046234130859375,0.0477294921875,0.047637939453125
N-ecstasy-d2-c1,res_16,6.5703125,6.56640625,6.55859375,1.1059136111694634,1.119499425743256,1.1097618166147438,-0.00390625,-0.01171875,0.013585814573792598,0.003848205445280417,0.0643310546875,0.06402587890625,0.06341552734375
N-loathing-d3-c1,res_16,6.77734375,6.7734375,6.81640625,1.1432683158750407,1.1608657905851847,1.196739740491891,-0.00390625,0.0390625,0.017597474710143945,0.05347142461685017,0.037353515625,0.03668212890625,0.032379150390625
N-amazement-d1-c2,res_16,6.28125,6.27734375,6.296875,1.507448066951244,1.5129871030059885,1.5318081587649786,-0.00390625,0.015625,0.005539036054744484,0.024360091813734552,0.09637451171875,0.0965576171875,0.09393310546875
N-amazement-d3-c1,res_16,6.3046875,6.32421875,6.30859375,1.432919083357306,1.4625079459671237,1.4416433163162674,0.01953125,0.00390625,0.029588862609817745,0.008724232958961409,0.09906005859375,0.09588623046875,0.09619140625
N-vigilance-d1-c1,res_16,6.140625,6.14453125,6.16015625,1.1623901116807227,1.172366507606292,1.1871217956685465,0.00390625,0.01953125,0.009976395925569204,0.02473168398782377,0.10723876953125,0.1064453125,0.10552978515625
N-vigilance-d3-c2,res_16,7.20703125,7.19140625,7.2109375,1.7236717436969085,1.7311423578944227,1.745334103513947,-0.015625,0.00390625,0.007470614197514269,0.021662359817038457,0.0109710693359375,0.0111236572265625,0.00945281982421875
B-grief-d1-v1,mlp_10,7.3828125,7.3671875,7.3671875,2.1129619657532714,2.104668711348143,2.102992981791794,-0.015625,-0.015625,-0.008293254405128625,-0.009968983961477385,0.0145416259765625,0.0139617919921875,0.0141754150390625
B-grief-d2-v1,mlp_10,4.10546875,4.09375,4.09765625,0.7477898290330849,0.7667076706944311,0.762811520205603,-0.01171875,-0.0078125,0.018917841661346246,0.01502169117251817,0.08367919921875,0.0810546875,0.07989501953125
B-grief-d3-v1,mlp_10,6.78125,6.79296875,6.78515625,1.3312548552416656,1.3488221600963466,1.3426317888985415,0.01171875,0.00390625,0.017567304854680943,0.011376933656875865,0.032928466796875,0.0310821533203125,0.0318603515625
B-terror-d2-v1,mlp_10,5.02734375,5.01953125,5.01171875,0.604821105866622,0.5956623454573586,0.5985288875007582,-0.0078125,-0.015625,-0.009158760409263333,-0.0062922183658638,0.09246826171875,0.08953857421875,0.08953857421875
